Class,Class_Label,Region,Region_Label,Total_Populations,High_Risk_Populations,High_Risk_Share
Actinopteri,"Actinopteri
(ray-finned fishes)",Africa,Africa,184,43,0.23369565217391305
Actinopteri,"Actinopteri
(ray-finned fishes)",Asia,Asia,199,80,0.4020100502512563
Actinopteri,"Actinopteri
(ray-finned fishes)",Europe,Europe,446,125,0.2802690582959641
Actinopteri,"Actinopteri
(ray-finned fishes)",International Waters,International Waters,103,48,0.46601941747572817
Actinopteri,"Actinopteri
(ray-finned fishes)",Latin America and Caribbean,Latin America and Caribbean,1406,192,0.13655761024182078
Actinopteri,"Actinopteri
(ray-finned fishes)",North America,North America,2290,522,0.2279475982532751
Actinopteri,"Actinopteri
(ray-finned fishes)",Oceania,"Oceania
(Pacific islands)",209,56,0.2679425837320574
Amphibia,"Amphibia
(amphibians)",Asia,Asia,28,22,0.7857142857142857
Amphibia,"Amphibia
(amphibians)",Europe,Europe,22,8,0.36363636363636365
Amphibia,"Amphibia
(amphibians)",Latin America and Caribbean,Latin America and Caribbean,58,27,0.46551724137931033
Amphibia,"Amphibia
(amphibians)",North America,North America,79,23,0.2911392405063291
Aves,"Aves
(birds)",Africa,Africa,643,215,0.3343701399688958
Aves,"Aves
(birds)",Antarctic,Antarctic,180,39,0.21666666666666667
Aves,"Aves
(birds)",Asia,Asia,399,133,0.3333333333333333
Aves,"Aves
(birds)",Europe,Europe,2408,518,0.21511627906976744
Aves,"Aves
(birds)",Latin America and Caribbean,Latin America and Caribbean,483,135,0.2795031055900621
Aves,"Aves
(birds)",North America,North America,2570,509,0.1980544747081712
Aves,"Aves
(birds)",Oceania,"Oceania
(Pacific islands)",5793,2366,0.4084239599516658
Elasmobranchii,"Elasmobranchii
(sharks and rays)",Africa,Africa,33,14,0.42424242424242425
Elasmobranchii,"Elasmobranchii
(sharks and rays)",Europe,Europe,23,4,0.17391304347826086
Elasmobranchii,"Elasmobranchii
(sharks and rays)",International Waters,International Waters,46,13,0.2826086956521739
Elasmobranchii,"Elasmobranchii
(sharks and rays)",Latin America and Caribbean,Latin America and Caribbean,22,4,0.18181818181818182
Elasmobranchii,"Elasmobranchii
(sharks and rays)",North America,North America,239,45,0.18828451882845187
Elasmobranchii,"Elasmobranchii
(sharks and rays)",Oceania,"Oceania
(Pacific islands)",27,6,0.2222222222222222
Mammalia,"Mammalia
(mammals)",Africa,Africa,686,260,0.37900874635568516
Mammalia,"Mammalia
(mammals)",Asia,Asia,275,66,0.24
Mammalia,"Mammalia
(mammals)",Europe,Europe,697,83,0.11908177905308465
Mammalia,"Mammalia
(mammals)",Latin America and Caribbean,Latin America and Caribbean,96,34,0.3541666666666667
Mammalia,"Mammalia
(mammals)",North America,North America,445,103,0.23146067415730337
Mammalia,"Mammalia
(mammals)",Oceania,"Oceania
(Pacific islands)",744,248,0.3333333333333333
Reptilia,"Reptilia
(reptiles)",Africa,Africa,27,9,0.3333333333333333
Reptilia,"Reptilia
(reptiles)",Asia,Asia,61,20,0.32786885245901637
Reptilia,"Reptilia
(reptiles)",Europe,Europe,49,14,0.2857142857142857
Reptilia,"Reptilia
(reptiles)",Latin America and Caribbean,Latin America and Caribbean,67,20,0.29850746268656714
Reptilia,"Reptilia
(reptiles)",North America,North America,83,23,0.27710843373493976
Reptilia,"Reptilia
(reptiles)",Oceania,"Oceania
(Pacific islands)",86,21,0.2441860465116279
