Class,Class_Label,Median_Log_Trend,Population_Count
Dipneusti,"Dipneusti
(lungfishes)",-2.4567357728213044,1
Amphibia,"Amphibia
(amphibians)",-0.2709452800962575,205
Elasmobranchii,"Elasmobranchii
(sharks and rays)",-0.0308933785256301,397
Actinopteri,"Actinopteri
(ray-finned fishes)",0.0,4847
Aves,"Aves
(birds)",0.0,12476
Mammalia,"Mammalia
(mammals)",0.0,2957
Reptilia,"Reptilia
(reptiles)",0.0005995803117565,373
Myxini,"Myxini
(hagfishes)",0.0033634679548525,19
Holocephali,"Holocephali
(chimaeras)",0.02064335872576885,4
Petromyzonti,"Petromyzonti
(lampreys)",1.2718840099421462,5
