Lat_Bin,Lon_Bin,Total_Populations,High_Risk_Populations,High_Risk_Share,Lat_Center,Lon_Center
-80,160,28,3,0.10714285714285714,-75.0,165.0
-70,-60,21,10,0.47619047619047616,-65.0,-55.0
-70,-50,21,5,0.23809523809523808,-65.0,-45.0
-60,-70,32,12,0.375,-55.0,-65.0
-60,-60,38,0,0.0,-55.0,-55.0
-60,-40,34,11,0.3235294117647059,-55.0,-35.0
-60,150,33,4,0.12121212121212122,-55.0,155.0
-50,140,400,160,0.4,-45.0,145.0
-50,170,32,16,0.5,-45.0,175.0
-40,-80,35,22,0.6285714285714286,-35.0,-75.0
-40,10,56,22,0.39285714285714285,-35.0,15.0
-40,20,133,24,0.18045112781954886,-35.0,25.0
-40,110,484,128,0.2644628099173554,-35.0,115.0
-40,120,82,26,0.3170731707317073,-35.0,125.0
-40,130,598,296,0.49498327759197325,-35.0,135.0
-40,140,1509,585,0.38767395626242546,-35.0,145.0
-40,150,434,164,0.3778801843317972,-35.0,155.0
-30,-60,47,11,0.23404255319148937,-25.0,-55.0
-30,-50,294,92,0.3129251700680272,-25.0,-45.0
-30,10,87,48,0.5517241379310345,-25.0,15.0
-30,20,122,10,0.08196721311475409,-25.0,25.0
-30,30,91,30,0.32967032967032966,-25.0,35.0
-30,110,162,42,0.25925925925925924,-25.0,115.0
-30,130,20,4,0.2,-25.0,135.0
-30,140,339,146,0.4306784660766962,-25.0,145.0
-30,150,1460,616,0.42191780821917807,-25.0,155.0
-20,10,106,40,0.37735849056603776,-15.0,15.0
-20,20,75,22,0.29333333333333333,-15.0,25.0
-20,30,50,18,0.36,-15.0,35.0
-20,120,508,206,0.40551181102362205,-15.0,125.0
-20,130,261,98,0.37547892720306514,-15.0,135.0
-20,140,412,174,0.4223300970873786,-15.0,145.0
-10,-80,69,30,0.43478260869565216,-5.0,-75.0
-10,-70,1130,110,0.09734513274336283,-5.0,-65.0
-10,-60,41,1,0.024390243902439025,-5.0,-55.0
-10,-40,66,5,0.07575757575757576,-5.0,-35.0
-10,20,22,4,0.18181818181818182,-5.0,25.0
-10,30,173,64,0.3699421965317919,-5.0,35.0
-10,50,24,7,0.2916666666666667,-5.0,55.0
-10,100,29,1,0.034482758620689655,-5.0,105.0
-10,140,23,3,0.13043478260869565,-5.0,145.0
0,-10,30,14,0.4666666666666667,5.0,-5.0
0,10,83,35,0.42168674698795183,5.0,15.0
0,30,192,66,0.34375,5.0,35.0
0,100,38,10,0.2631578947368421,5.0,105.0
0,110,31,24,0.7741935483870968,5.0,115.0
10,-160,66,8,0.12121212121212122,15.0,-155.0
10,-100,46,22,0.4782608695652174,15.0,-95.0
10,-90,32,15,0.46875,15.0,-85.0
10,-70,88,17,0.19318181818181818,15.0,-65.0
10,-20,22,7,0.3181818181818182,15.0,-15.0
10,-10,31,19,0.6129032258064516,15.0,-5.0
10,0,30,11,0.36666666666666664,15.0,5.0
10,10,50,30,0.6,15.0,15.0
10,100,31,10,0.3225806451612903,15.0,105.0
10,140,36,17,0.4722222222222222,15.0,145.0
20,-160,33,2,0.06060606060606061,25.0,-155.0
