Class,Binomial,Median_Log_Trend,Mean_Log_Trend,Population_Count,High_Risk_Populations,High_Risk_Share,Mean_Median_Diff
Aves,Numenius_madagascariensis,-0.5596157879354227,-0.6170254802923434,480,252,0.525,0.05740969235692073
Aves,Leipoa_ocellata,-0.4054651081081644,-0.3202756399532747,108,49,0.4537037037037037,0.0851894681548897
Aves,Limosa_lapponica,-0.2199371451047036,-0.7650821063125338,584,273,0.4674657534246575,0.5451449612078302
Aves,Calidris_ferruginea,-0.2006706954621515,-1.1688895465449103,578,281,0.486159169550173,0.9682188510827587
Mammalia,Phascolarctos_cinereus,-0.11557664611916765,-0.17165407304129748,102,27,0.2647058823529412,0.05607742692212983
Aves,Calidris_ruficollis,-0.0673114333212281,-0.4672541590665865,746,343,0.4597855227882037,0.3999427257453584
Aves,Calidris_acuminata,0.0,0.05573136513775698,542,155,0.2859778597785978,0.05573136513775698
Aves,Calidris_canutus,0.0,-0.19428677372310674,318,91,0.2861635220125786,0.19428677372310674
Aves,Calidris_tenuirostris,0.0,-0.5718119106608892,322,135,0.4192546583850932,0.5718119106608892
Aves,Charadrius_leschenaultii,0.0,-0.18419136562023056,230,86,0.3739130434782609,0.18419136562023056
Aves,Charadrius_mongolus,0.0,-0.7154335176553788,309,114,0.36893203883495146,0.7154335176553788
Aves,Limosa_limosa,0.0,-0.3144143429706714,245,71,0.2897959183673469,0.3144143429706714
Aves,Tringa_nebularia,0.0,-0.506188571889207,629,281,0.4467408585055644,0.506188571889207
Aves,Xenus_cinereus,0.0,-0.40324066314344703,256,96,0.375,0.40324066314344703
Mammalia,Sarcophilus_harrisii,0.0,-0.25457053535932556,131,44,0.33587786259541985,0.25457053535932556
