Class,Binomial,Population_Count,High_Risk_Populations,Median_Log_Trend,Mean_Log_Trend,Regions,High_Risk_Share
Aves,Sturnus_vulgaris,27,20,-1.076612600848001,-1.0384805197829505,"Europe, North America",0.7407407407407407
Actinopteri,Hippoglossoides_platessoides,37,27,-0.9421265880388914,-0.8450070570377429,"International Waters, North America",0.7297297297297297
Actinopteri,Gadus_morhua,80,56,-1.0579252764366247,-1.1443523190500586,"Europe, International Waters, North America",0.7
Mammalia,Dasyurus_hallucatus,48,33,-0.6931471805599453,-0.8018796597645729,Oceania,0.6875
Aves,Hirundo_rustica,20,13,-0.9435067843342566,-0.8854879503476291,"Europe, North America",0.65
Aves,Larus_canus,36,23,-1.03139836283233,-0.9347632263817567,"Asia, Europe, North America",0.6388888888888888
Mammalia,Raphicerus_campestris,28,17,-0.9431659569229198,-0.853267983594795,Africa,0.6071428571428571
Actinopteri,Brosme_brosme,20,12,-0.6487878012388808,-0.7154675094094267,"Europe, North America",0.6
Mammalia,Diceros_bicornis,35,20,-1.2617976627090446,-1.4487486650717625,Africa,0.5714285714285714
Mammalia,Antechinus_bellus,23,13,-0.6931471805599453,-0.3588359845905119,Oceania,0.5652173913043478
Aves,Spheniscus_demersus,36,19,-0.5462837345100819,-0.4786181982877041,Africa,0.5277777777777778
Aves,Numenius_madagascariensis,480,252,-0.5596157879354227,-0.6170254802923434,"Asia, Oceania",0.525
Mammalia,Mesembriomys_gouldii,20,10,-0.34657359027997264,-0.25375869076169133,Oceania,0.5
Aves,Calidris_ferruginea,578,281,-0.2006706954621515,-1.1688895465449103,"Africa, Asia, Europe, Oceania",0.486159169550173
Actinopteri,Salvelinus_confluentus,29,14,-0.3908663086870119,-0.5369584281644496,North America,0.4827586206896552
Actinopteri,Urophycis_tenuis,29,14,-0.3863967561630144,-0.4879679483796639,North America,0.4827586206896552
Aves,Charadrius_alexandrinus,27,13,-0.3593740009078967,0.2338282297546724,"Africa, Asia, Europe",0.48148148148148145
Actinopteri,Oncorhynchus_tshawytscha,46,22,-0.41926246490533625,-0.377767568354448,North America,0.4782608695652174
Aves,Limosa_lapponica,584,273,-0.2199371451047036,-0.7650821063125338,"Africa, Asia, Europe, Oceania",0.4674657534246575
Mammalia,Antidorcas_marsupialis,26,12,-0.4708118615503092,-0.33379521487649644,Africa,0.46153846153846156
